id,budget,original_language,original_title,popularity,production_companies,revenue,vote_average,vote_count,score
127585,250000000,en,X-Men: Days of Future Past,118.078691,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']",747862775,7.5,6032,7.171153714535246
54138,190000000,en,Star Trek Into Darkness,78.291018,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",467365246,7.4,4418,7.015703630662713
81005,195000000,en,Jack the Giant Slayer,43.349855,"['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",197687603,5.5,2598,5.745389999747138
64682,105000000,en,The Great Gatsby,61.196071,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']",351040419,7.3,3769,6.904010449562756
9543,150000000,en,Prince of Persia: The Sands of Time,62.169881,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",335154643,6.2,2317,6.152295373460606
68726,180000000,en,Pacific Rim,56.523205,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",407602906,6.7,4794,6.531519238115645
38356,195000000,en,Transformers: Dark of the Moon,28.529607,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",1123746996,6.1,3299,6.097198620874023
217,185000000,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,"['Lucasfilm', 'Paramount Pictures']",786636033,5.7,2495,5.866374716130106
105864,175000000,en,The Good Dinosaur,51.692953,"['Walt Disney Pictures', 'Pixar Animation Studios']",331926147,6.6,1736,6.338811603311941
62177,185000000,en,Brave,125.114374,"['Walt Disney Pictures', 'Pixar Animation Studios']",538983207,6.7,4641,6.5275408517576015
188927,185000000,en,Star Trek Beyond,65.352913,"['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",343471816,6.6,2568,6.388128221422976
10681,180000000,en,WALL·E,66.390712,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",521311860,7.8,6296,7.4140253976787704
5174,140000000,en,Rush Hour 3,22.57178,['New Line Cinema'],258022233,6.1,783,6.094509878262837
14161,200000000,en,2012,45.274225,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']",769653595,5.6,4903,5.734216660467886
17979,200000000,en,A Christmas Carol,39.744242,"['Walt Disney', 'ImageMovers']",325233863,6.6,1095,6.28173729967894
76757,176000003,en,Jupiter Ascending,85.36908,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",183987723,5.2,2768,5.55606291135772
258489,180000000,en,The Legend of Tarzan,42.741719,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']",356743061,5.5,2430,5.755048307299738
411,180000000,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,"['Walt Disney', 'Walden Media']",748806957,6.7,2629,6.449869766503604
246655,178000000,en,X-Men: Apocalypse,139.272042,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Kinberg Genre']",543934787,6.4,4721,6.313725065536208
155,185000000,en,The Dark Knight,187.322927,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",1004558444,8.2,12002,7.92002024470956
14160,175000000,en,Up,92.201962,['Pixar Animation Studios'],735099082,7.7,6870,7.360576936621906
15512,175000000,en,Monsters vs Aliens,36.167578,['DreamWorks Animation'],381509870,6.0,1423,6.0519556616416885
1726,140000000,en,Iron Man,120.725053,['Marvel Studios'],585174222,7.4,8776,7.1734858489295865
44826,170000000,en,Hugo,32.319043,"['Paramount Pictures', 'Infinitum Nihil', 'GK Films']",185770160,7.0,2141,6.580602149790973
8487,170000000,en,Wild Wild West,40.748915,"['Todman, Simon, LeMasters Productions', 'Warner Bros.', 'Peters Entertainment', 'Sonnenfeld Josephson Worldwide Entertainment']",222104681,5.1,1020,5.738122094485797
1735,145000000,en,The Mummy: Tomb of the Dragon Emperor,60.034162,"['Universal Pictures', 'China Film Co-Production Corporation', 'Relativity Media', 'Alphaville Films', 'Sommers Company, The']",401128639,5.2,1387,5.708516213455139
297761,175000000,en,Suicide Squad,90.23792,"['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']",745000000,5.9,7458,5.938002688662085
2698,175000000,en,Evan Almighty,27.082182,"['Columbia Pictures', 'Universal Pictures', 'Spyglass Entertainment', 'Shady Acres Entertainment', 'Original Film', 'Playtone', 'Relativity Media']",173000000,5.3,1151,5.787164044583596
137113,178000000,en,Edge of Tomorrow,79.456485,"['Village Roadshow Pictures', 'Warner Bros.', 'Viz Media', 'Province of British Columbia Production Services Tax Credit', '3 Arts Entertainment', 'RatPac-Dune Entertainment']",370541256,7.6,4858,7.186047457570963
9804,175000000,en,Waterworld,44.640292,"['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",264218220,5.9,992,6.024819175691846
14869,175000000,en,G.I. Joe: The Rise of Cobra,32.852443,"['Paramount Pictures', 'Spyglass Entertainment', 'Di Bonaventura Pictures', 'Hasbro', 'Kontsept Film Company']",302469017,5.6,1962,5.838082358403906
150540,175000000,en,Inside Out,128.655964,"['Walt Disney Pictures', 'Pixar Animation Studios']",857611174,8.0,6560,7.5823785714991185
278927,175000000,en,The Jungle Book,94.199316,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Fairview Entertainment', 'Moving Picture Company (MPC)']",966550600,6.7,2892,6.463776466023635
10138,200000000,en,Iron Man 2,77.300194,['Marvel Studios'],623933331,6.6,6849,6.492534958086217
58595,170000000,en,Snow White and the Huntsman,77.178973,"['Universal Pictures', 'Roth Films']",396600000,5.8,3118,5.908370630876886
102651,180000000,en,Maleficent,110.620647,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']",758539785,7.0,4496,6.736525668552382
119450,170000000,en,Dawn of the Planet of the Apes,243.791743,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']",710644566,7.3,4410,6.944633537366078
79698,27000000,en,The Lovers,2.418535,"['Corsan', 'Bliss Media', 'Limelight International Media Entertainment', 'Neelmudra Entertainment', 'Aristos Films', 'Singularity Productions', 'Wildkite']",0,4.8,34,6.068707645203056
64686,175000000,en,47 Ronin,41.796339,"['Mid Atlantic Films', 'Stuber Productions', 'Universal', 'Moving Picture Company (MPC)', 'H2F Entertainment']",150962475,5.9,1326,6.011644607154027
100402,170000000,en,Captain America: The Winter Soldier,72.225265,['Marvel Studios'],714766572,7.6,5764,7.235379379522019
10192,165000000,en,Shrek Forever After,44.041186,['DreamWorks Animation'],752600867,6.0,1959,6.0446221611834945
158852,190000000,en,Tomorrowland,130.311355,"['Walt Disney Pictures', 'Babieka', 'A113']",209154322,6.2,2846,6.1576825623085565
177572,165000000,en,Big Hero 6,203.73459,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",652105443,7.8,6135,7.406231744911606
82690,165000000,en,Wreck-It Ralph,62.341073,['Walt Disney Animation Studios'],471222889,7.1,4570,6.810880749466044
5255,165000000,en,The Polar Express,47.323228,"['Golden Mean', 'Playtone', 'ImageMovers']",305875730,6.4,1474,6.22915354271169
47933,165000000,en,Independence Day: Resurgence,48.775723,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment', 'TSG Entertainment', 'Stereo D']",389681935,4.9,2491,5.406233703256387
10191,165000000,en,How to Train Your Dragon,67.263269,"['DreamWorks Animation', 'Vertigo Entertainment', 'Mad Hatter Entertainment']",494878759,7.5,4227,7.0732924778049595
296,200000000,en,Terminator 3: Rise of the Machines,69.405188,"['Columbia Pictures', 'Intermedia Films', 'Warner Bros.', 'C-2 Pictures', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Mostow/Lieberman Productions']",435000000,5.9,2143,5.988734664911389
118340,170000000,en,Guardians of the Galaxy,481.098624,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']",773328629,7.9,9742,7.613005439784308
157336,165000000,en,Interstellar,724.247784,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']",675120017,8.1,10867,7.809478504799392
27205,160000000,en,Inception,167.58371,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",825532764,8.1,13752,7.863239441892331
315011,15000000,ja,シン・ゴジラ,9.476999,"['Cine Bazar', 'Toho Pictures']",77000000,6.5,143,6.121605024163824
49051,250000000,en,The Hobbit: An Unexpected Journey,108.849621,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",1021103568,7.0,8297,6.835334391822543
9799,38000000,en,The Fast and the Furious,6.909942,"['Universal Pictures', 'Original Film', 'Ardustry Entertainment', 'Mediastream Film GmbH & Co. Productions KG']",207283925,6.6,3428,6.422726757344334
4922,150000000,en,The Curious Case of Benjamin Button,60.269279,"['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",333932083,7.3,3292,6.86719323929483
49538,160000000,en,X-Men: First Class,3.195174,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Dune Entertainment III', 'Marvel Entertainment', 'Bad Hat Harry Productions', 'Big Screen Productions']",353624124,7.1,5181,6.836046983343049
131634,160000000,en,The Hunger Games: Mockingjay - Part 2,127.284427,"['Studio Babelsberg', 'Lionsgate', 'Color Force']",653428261,6.6,3984,6.439655158504775
27022,150000000,en,The Sorcerer's Apprentice,35.580815,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']",215283742,5.8,1470,5.962352857840105
503,160000000,en,Poseidon,21.133748,"['Virtual Studios', 'Next Entertainment', 'Warner Bros.', 'Irwin Allen Productions', 'Radiant Productions', 'Synthesis Entertainment']",181674817,5.5,583,5.949594529973653
241259,170000000,en,Alice Through the Looking Glass,56.268916,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Legend3D']",299370084,6.5,1725,6.28959650751479
810,160000000,en,Shrek the Third,42.986467,"['DreamWorks SKG', 'DreamWorks Animation']",798958165,6.0,2278,6.0411641713337385
68735,160000000,en,Warcraft,63.148529,"['Universal Pictures', 'Atlas Entertainment', 'Legendary Pictures', 'Blizzard Entertainment']",433677183,6.3,2268,6.2069569927133745
87101,155000000,en,Terminator Genisys,202.042635,"['Paramount Pictures', 'Annapurna Pictures', 'Skydance Media']",440603537,5.8,3631,5.898206054572386
10140,155000000,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,"['Dune Entertainment', 'Fox 2000 Pictures', 'Walden Media']",415686217,6.2,1514,6.140868689559182
676,140000000,en,Pearl Harbor,34.20669,"['Jerry Bruckheimer Films', 'Touchstone Pictures']",449220945,6.6,1791,6.34276965748559
1858,150000000,en,Transformers,25.468493,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'thinkfilm', 'SprocketHeads', 'Hasbro Studios', 'Revolution Sun Studios']",709709780,6.6,4040,6.441182667882111
1966,155000000,en,Alexander,39.019229,"['France 3 Cinéma', 'Intermedia Films', 'Pathé Renn Productions', 'Egmond Film & Television', 'Warner Bros.', 'Pacifica Film', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'WR Universal Group']",167298192,5.6,927,5.9271889039119845
675,150000000,en,Harry Potter and the Order of the Phoenix,78.144395,"['Warner Bros.', 'Heyday Films']",938212738,7.4,5494,7.072097566264553
674,150000000,en,Harry Potter and the Goblet of Fire,101.250416,"['Patalex IV Productions Limited', 'Warner Bros.', 'Heyday Films']",895921036,7.5,5608,7.15242911942391
8960,150000000,en,Hancock,56.758411,"['Columbia Pictures', 'Weed Road Pictures', 'Forward Pass', 'Relativity Media', 'Overbrook Entertainment', 'Blue Light', 'GH Three']",624029371,6.2,2961,6.158696544334333
6479,150000000,en,I Am Legend,70.867401,"['Village Roadshow Pictures', 'Original Film', 'Weed Road Pictures', 'Warner Bros.', 'Heyday Films', 'Overbrook Entertainment']",585349010,6.9,4853,6.678056639100667
118,150000000,en,Charlie and the Chocolate Factory,53.905592,"['Village Roadshow Pictures', 'The Zanuck Company', 'Warner Bros.', 'Tim Burton Productions', 'Plan B Entertainment', 'Theobald Film Productions']",474968763,6.7,3624,6.49543208019885
2062,150000000,en,Ratatouille,65.677399,"['Walt Disney Pictures', 'Pixar Animation Studios']",623722818,7.5,4369,7.083053805921674
272,150000000,en,Batman Begins,115.040024,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Patalex III Productions Limited']",374218673,7.5,7359,7.21859962542438
10527,150000000,en,Madagascar: Escape 2 Africa,44.141021,['DreamWorks Animation'],603900354,6.2,1810,6.145666098804464
18360,150000000,en,Night at the Museum: Battle of the Smithsonian,81.781591,"['Twentieth Century Fox Film Corporation', '1492 Pictures', 'Dune Entertainment', '21 Laps Entertainment', 'Museum Canada Productions', 'Moving Picture Company (MPC)']",413106170,5.9,1971,5.992741165243398
2080,150000000,en,X-Men Origins: Wolverine,5.954334,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Seed Productions', 'Bad Hat Harry Productions', 'Big Screen Productions', 'Marvel Enterprises']",373062864,6.2,4021,6.1661685829399255
605,150000000,en,The Matrix Revolutions,73.313918,"['Village Roadshow Pictures', 'NPV Entertainment', 'Silver Pictures', 'Warner Bros.']",424988211,6.4,3096,6.285312944811569
109445,150000000,en,Frozen,165.125366,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",1274219009,7.3,5295,6.988721814965963
604,150000000,en,The Matrix Reloaded,70.78591,"['Village Roadshow Pictures', 'NPV Entertainment', 'Heineken Branded Entertainment', 'Silver Pictures', 'Warner Bros.']",738599701,6.7,3443,6.4884212888397395
76338,170000000,en,Thor: The Dark World,99.499595,['Marvel Studios'],644571402,6.8,4755,6.602640245530106
76341,150000000,en,Mad Max: Fury Road,434.278564,"['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']",378858340,7.2,9427,7.019213538345571
13448,150000000,en,Angels & Demons,67.447636,"['Columbia Pictures', 'Imagine Entertainment', 'Panorama Films', 'Skylark Productions']",356613439,6.5,2129,6.31102187701724
10195,150000000,en,Thor,86.493424,['Marvel Studios'],449326618,6.6,6525,6.4883717381541235
13053,150000000,en,Bolt,41.845878,['Walt Disney Animation Studios'],309979994,6.3,1750,6.193525859680694
19585,150000000,en,G-Force,26.710398,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Whamaphram Productions']",292817841,5.1,510,5.876702518684296
57165,150000000,en,Wrath of the Titans,44.927635,"['Legendary Pictures', 'Thunder Road Pictures', 'Warner Bros.', 'Cott Productions', 'Furia de Titanes II, A.I.E.']",301000000,5.5,1431,5.832981034709183
62213,150000000,en,Dark Shadows,50.306728,"['Village Roadshow Pictures', 'Infinitum Nihil', 'GK Films', 'Warner Bros.', 'Tim Burton Productions', 'Dan Curtis Productions', 'Zanuck Company, The']",245527149,5.7,2320,5.873376345440121
177677,150000000,en,Mission: Impossible - Rogue Nation,114.522237,"['Paramount Pictures', 'Skydance Productions', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin']",682330139,7.1,3224,6.734009204108367
7978,150000000,en,The Wolfman,21.214571,"['Universal Pictures', 'Stuber Productions', 'Relativity Media']",0,5.5,549,5.955997400887242
5559,150000000,en,Bee Movie,29.332905,"['Pacific Data Images (PDI)', 'DreamWorks Animation', 'Columbus 81 Productions']",287594577,5.7,1171,5.939572072465674
49444,150000000,en,Kung Fu Panda 2,51.247321,['DreamWorks Animation'],665692281,6.7,1880,6.39948585275339
10196,150000000,en,The Last Airbender,33.769336,"['Paramount Pictures', 'Nickelodeon Movies', 'Kennedy/Marshall Company, The', 'Industrial Light & Magic (ILM)', 'Blinding Edge Pictures']",318502923,4.7,1151,5.556147787140631
956,150000000,en,Mission: Impossible III,63.079003,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']",397850012,6.5,2028,6.306085297661443
117251,150000000,en,White House Down,39.004588,"['Columbia Pictures', 'Centropolis Entertainment', 'Iron Horse Entertainment (II)', 'Mythology Entertainment (II)']",205366737,6.4,1891,6.248256608268944
50321,150000000,en,Mars Needs Moms,12.362599,['Walt Disney Animation Studios'],38992758,5.5,199,6.034332087404635
11619,149000000,en,Flushed Away,22.550135,"['Aardman Animations', 'DreamWorks Animation']",64459316,6.0,874,6.062471683703805
266647,150000000,en,Pan,48.03528,"['Warner Bros.', 'Moving Picture Company (MPC)', 'Berlanti Productions', 'RatPac-Dune Entertainment']",128388320,5.9,954,6.026517760664017
82703,145000000,en,Mr. Peabody & Sherman,38.73494,"['Pacific Data Images (PDI)', 'DreamWorks Animation', 'Classic Media Productions', 'Bullwinkle Studios']",272912430,6.7,843,6.283265531020438
652,175000000,en,Troy,66.803149,"['Plan B Entertainment', 'Warner Bros.', 'Nimar Studios', 'Radiant Productions', 'Helena Productions', 'Latina Pictures']",497409852,6.9,2759,6.576967023726063
80321,145000000,en,Madagascar 3: Europe's Most Wanted,44.989192,['DreamWorks Animation'],746921274,6.4,1808,6.2448025984198665
36669,140000000,en,Die Another Day,54.159392,['Eon Productions'],431971116,5.8,1092,5.983295179797366
43074,144000000,en,Ghostbusters,66.21806,"['Columbia Pictures', 'Village Roadshow Pictures', 'Montecito Picture Company, The', 'LStar Capital', 'Feigco Entertainment', 'Pascal Pictures', 'Ghostcorps']",229147509,5.3,2142,5.665874835413074
95,140000000,en,Armageddon,58.485967,"['Jerry Bruckheimer Films', 'Touchstone Pictures', 'Valhalla Motion Pictures']",553799566,6.4,2482,6.269014025293538
608,140000000,en,Men in Black II,91.332849,"['Columbia Pictures', 'Amblin Entertainment', 'Columbia Pictures Corporation', 'Parkes+MacDonald Image Nation']",441818803,6.0,3114,6.034215369291294
2310,70000000,en,Beowulf,35.601665,"['Paramount Pictures', 'Shangri-La Entertainment', 'ImageMovers', 'Paramount Animation']",195735876,5.5,841,5.906302976367173
140300,145000000,en,Kung Fu Panda 3,56.747978,"['Twentieth Century Fox Film Corporation', 'DreamWorks Animation', 'China Film Co.', 'Oriental DreamWorks']",521170825,6.7,1603,6.375297319369501
56292,145000000,en,Mission: Impossible - Ghost Protocol,77.77477,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'TC Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",694713380,6.8,3972,6.576044367836672
